filename_fastq	filename_fast5	parent_read_id	read_id	run_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	pore_type	experiment_id	sample_id	end_reason
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	69fc93ab-8268-43f1-acd9-5e5f9bfe5c93	69fc93ab-8268-43f1-acd9-5e5f9bfe5c93	8dac5155923d1ba769fdc746f0547a7ff4270a5a	453	2	11804.341000	1.394750	1115	TRUE	11804.406000	1063	1.329750	415	10.521893	2.746642	98.579628	8.419612	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_fail_8dac5155_0.fastq.gz	FAT93959_fail_8dac5155_0.fast5	eca8f280-1748-4b8d-87d7-9a44ca0ed69a	eca8f280-1748-4b8d-87d7-9a44ca0ed69a	8dac5155923d1ba769fdc746f0547a7ff4270a5a	45	1	11817.262750	2.427250	1941	FALSE	11817.280250	1927	2.409750	1173	7.746370	2.989812	94.369820	9.647472	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	da126005-c8d0-4886-a345-5d86771843c2	da126005-c8d0-4886-a345-5d86771843c2	8dac5155923d1ba769fdc746f0547a7ff4270a5a	454	2	11821.167750	1.134000	907	TRUE	11821.192750	887	1.109000	488	11.563026	3.075274	93.843597	9.822881	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	ea063974-1bfb-4f44-bd14-874226e982e7	ea063974-1bfb-4f44-bd14-874226e982e7	8dac5155923d1ba769fdc746f0547a7ff4270a5a	214	2	11822.144250	0.959500	767	TRUE	11822.240500	690	0.863250	359	12.607227	3.033180	89.107559	10.524515	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	8d069948-95b5-4ac4-be65-0acc64ce629c	8d069948-95b5-4ac4-be65-0acc64ce629c	8dac5155923d1ba769fdc746f0547a7ff4270a5a	243	3	11828.790250	1.124000	899	TRUE	11828.812750	881	1.101500	385	11.346547	2.856072	91.387871	10.699924	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	8f3fcb05-2106-4859-855d-71efb20a26a8	8f3fcb05-2106-4859-855d-71efb20a26a8	8dac5155923d1ba769fdc746f0547a7ff4270a5a	146	1	11822.241000	8.466000	6772	TRUE	11822.242250	6771	8.464750	1735	12.357965	2.448689	68.584755	6.314709	not_set	ASFV_chronic	no_sample	unblock_mux_change
FAT93959_fail_8dac5155_0.fastq.gz	FAT93959_fail_8dac5155_0.fast5	0607ba9a-ba0a-4d8a-b497-f24dca66c896	0607ba9a-ba0a-4d8a-b497-f24dca66c896	8dac5155923d1ba769fdc746f0547a7ff4270a5a	430	3	11831.068750	0.681250	545	FALSE	11831.251250	399	0.498750	224	4.927905	2.710821	99.807487	10.524515	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_fail_8dac5155_0.fastq.gz	FAT93959_fail_8dac5155_0.fast5	8715a02f-5812-490f-8ff1-7dba9e594c52	8715a02f-5812-490f-8ff1-7dba9e594c52	8dac5155923d1ba769fdc746f0547a7ff4270a5a	217	1	11831.177250	0.774500	619	FALSE	11831.316000	508	0.635750	330	5.438757	3.045678	103.140251	7.893386	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	577a81e0-79b9-4e7b-81b5-c6d2e0dc5ca2	577a81e0-79b9-4e7b-81b5-c6d2e0dc5ca2	8dac5155923d1ba769fdc746f0547a7ff4270a5a	78	3	11831.969250	0.624250	499	TRUE	11831.975500	494	0.618000	209	10.432561	2.803334	89.107559	11.401558	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	0f0098a9-0abd-4ea2-a25a-5bfe7a79ce6a	0f0098a9-0abd-4ea2-a25a-5bfe7a79ce6a	8dac5155923d1ba769fdc746f0547a7ff4270a5a	264	4	11869.118000	1.204250	963	TRUE	11869.241750	864	1.080500	352	11.544773	2.816937	92.264915	8.770430	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	42255cce-c70d-403d-b0b2-a953e6c6f8b4	42255cce-c70d-403d-b0b2-a953e6c6f8b4	8dac5155923d1ba769fdc746f0547a7ff4270a5a	74	4	11877.144250	1.353750	1083	TRUE	11877.186750	1049	1.311250	660	10.683460	3.142141	121.207336	10.699924	not_set	ASFV_chronic	no_sample	signal_positive
